"Business Name","Address","Phone","Website","Rating","Reviews","Status"
"Wow Gift & Toys Gallery","Rc Western Mall Bailey Road RPS More Basement shop, dominos pizza ke niche, Danapur, Bihar 801503, India","+91 82107 13806","No Website Available","4.8","6","Open"
"Utsav Distributors","Shiv Durga Hanuman Mandir, Daldali Rd, Salimpur Ahra, Kadamkuan, Patna, Bihar 800003, India","+91 98356 86553","No Website Available","5.0","3","Open"
"MINISO PATNA","No M2/7, Boring Rd, opposite Jamuna Apartment, Sri Krishna Puri, Patna, Bihar 800001, India","+91 91993 17179","No Website Available","4.2","780","Open"
"Saurav Stationery and Toy Store","Ramkrishna Path, Punaichak, Rajbansi Nagar, Patna, Bihar 801103, India","+91 77177 37023","No Website Available","4.1","55","Open"
"Gift and Toys","J3JX+5WX, Rajeev Nagar Main Rd, Rajeev Nagar, Keshri Nagar, Patna, Bihar 800024, India","+91 93043 13934","No Website Available","3.9","7","Open"
"Neeraj Birthday Store","Churi Market, Machhua Toli, Patna, Bihar 800003, India","N/A","No Website Available","3.8","45","Open"
"CONCEPT 99 BAZAAR","Pillar no- 27, Kusum Vatika, Behind Patanjali store, Akashvani Road, Bailey Rd, Khajpura, Patna, Bihar 800014, India","+91 91559 66944","https://wa.me/message/JHR5WVMHCEKOO1","4.9","15","Open"
"Firstcry.com","H B Complex, First Floor, Front Portion Gola Road Crossing, beside BPCL Petrol Pump, Patna, Bihar 801503, India","+91 82104 89130","http://www.firstcry.com/","4.6","308","Open"
"I Glam","3rd Floor, 169, above RBL Bank, New Patliputra Colony, Patliputra Colony, Patna, Bihar 800013, India","+91 70705 32888","http://www.iglam.in/","4.8","1800","Open"
"Prudent stationery, Sports,Toys and Gift","Ramnagri Rd, Guru Sahay Lal Nagar, Magistrate Colony, Rukanpura, Patna, Bihar 800025, India","+91 70509 68123","No Website Available","4.6","29","Open"
